Total method loc: 10188
Total method aloc: 13870.30
Code compression rate: 26.55%
==============================
method	sloc	dloc	ncalls
com/android/deskclock/provider/ClockProvider.update:(Landroid/net/Uri;Landroid/content/ContentValues;Ljava/lang/String;[Ljava/lang/String;)I	22	16.50	1
com/android/deskclock/provider/ClockProvider.getType:(Landroid/net/Uri;)Ljava/lang/String	16	12.50	1
com/android/deskclock/provider/DaysOfWeek.<init>:(I;)V	1	1.00	5
com/android/deskclock/provider/DaysOfWeek.isBitEnabled:(I;)Z	1	1.00	2
com/android/deskclock/provider/DaysOfWeek.isRepeating:()Z	1	1.00	6
com/android/deskclock/provider/DaysOfWeek.calculateDaysToNextAlarm:(Ljava/util/Calendar;)I	9	6.75	1
com/android/deskclock/provider/DaysOfWeek.convertBitIndexToDay:(I;)I	1	1.00	2
com/android/deskclock/provider/DaysOfWeek.convertDayToBitIndex:(I;)I	1	1.00	2
com/android/deskclock/provider/DaysOfWeek.getBitSet:()I	1	1.00	4
com/android/deskclock/provider/DaysOfWeek.toAccessibilityString:(Landroid/content/Context;)Ljava/lang/String	1	1.00	1
com/android/deskclock/provider/DaysOfWeek.toString:()Ljava/lang/String	1	1.00	3
com/android/deskclock/provider/DaysOfWeek.toString:(Landroid/content/Context;Z;)Ljava/lang/String	1	1.00	1
com/android/deskclock/provider/DaysOfWeek.toString:(Landroid/content/Context;Z;Z;)Ljava/lang/String	20	13.63	2
com/android/deskclock/provider/DaysOfWeek.getSetDays:()Ljava/util/HashSet	5	3.75	3
com/android/deskclock/provider/DaysOfWeek.clearAllDays:()V	1	1.00	1
com/android/deskclock/provider/DaysOfWeek.setBit:(I;Z;)V	4	3.00	1
com/android/deskclock/provider/DaysOfWeek.setBitSet:(I;)V	1	1.00	1
com/android/deskclock/provider/DaysOfWeek.setDaysOfWeek:(Z;[I;)V	2	1.50	4
com/android/deskclock/stopwatch/StopwatchFragment$ImageLabelAdapter.<init>:(Landroid/content/Context;I;Ljava/util/ArrayList;Ljava/util/ArrayList;Ljava/util/ArrayList;Ljava/util/ArrayList;)V	5	5.00	1
com/android/deskclock/stopwatch/StopwatchFragment$ImageLabelAdapter.<init>:(Landroid/content/Context;I;Ljava/util/ArrayList;Ljava/util/ArrayList;Ljava/util/ArrayList;Ljava/util/ArrayList;Lcom/android/deskclock/stopwatch/StopwatchFragment$ImageLabelAdapter;)V	6	6.00	1
com/android/deskclock/stopwatch/StopwatchFragment$ImageLabelAdapter.getView:(I;Landroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View	5	5.00	1
